CustomerID,Region,TownSize,Gender,Age,EducationYears,UnionMember,EmploymentLength,Retired,HHIncome,DebtToIncomeRatio,CreditDebt,OtherDebt,LoanDefault,MaritalStatus,HouseholdSize,HomeOwner,CarsOwned,CarOwnership,CarBrand,CarValue,CommuteTime,PoliticalPartyMem,Votes,CardTenure,CardItemsMonthly,CardSpendMonth,ActiveLifestyle,PhoneCoTenure,VoiceLastMonth,VoiceOverTenure,EquipmentRental,EquipmentLastMonth,EquipmentOverTenure,CallingCard,WirelessData,DataLastMonth,DataOverTenure,Multiline,VM,Pager,Internet,CallerID,CallWait,CallForward,ThreeWayCalling,EBilling,TVWatchingHours,OwnsPC,OwnsMobileDevice,OwnsGameSystem,OwnsFax,NewsSubscriber,AgeRanges,TotalDebt,TotalDebtRanges,HHIncomeRanges,DebtToIncomeRatio_2,DebtToIncomeRatio_rec,TotalLastMonth,TotalOverTenure,VoicePerMonth,EquipmentPerMonth,DataPerMonth,TotalPerMonth,TotalLastMonthBins,RevenueType,PhoneCoTenureYears,Top50_Bottom50,Top_Customers,JobCategoryNo,TotalServicesUsed
0556-MOOWPK-HFE,1,1,1,55,15,1,16,1,49000,14.8,1.689716,5.562284,1,0,1,1,1,0,1,14700,19,1,0,37,11,3002,1,72,88,2118,0,73,5133,0,0,96,6783,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,7.252,3,2,148.0,7,257,14034,29.416666666666668,71.29166666666667,94.20833333333333,194,6,3,5,0,High Value,4,11
0438-VUBTYC-L81,2,5,0,66,21,1,25,1,109000,7.0,3.6471400000000003,3.98286,1,1,4,1,0,2,2,-1000,39,1,0,40,9,1760,1,73,341,8519,1,0,0,0,0,78,5699,0,0,0,0,0,0,0,0,1,20,0,0,1,1,0,5,7.630000000000001,3,4,70.0,4,419,14218,116.6986301369863,0.0,78.06849315068493,194,6,2,5,0,High Value,6,10
6308-REILUL-K6N,3,1,0,54,22,1,11,1,642000,4.6,11.251692,18.280307999999998,1,1,2,1,1,0,1,86300,25,1,0,21,10,5136,1,47,27,465,0,83,3969,0,0,104,4707,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,4,29.531999999999996,5,6,46.0,3,214,9141,9.893617021276595,84.44680851063829,100.14893617021276,194,5,3,3,0,High Value,1,11
9987-TYXPMR-SYS,4,4,0,76,20,0,16,1,179000,5.1,5.513916,3.6150839999999995,1,1,2,1,3,0,1,75700,19,0,1,39,16,8242,1,73,169,4089,0,62,4634,0,0,77,5375,0,0,0,1,0,0,0,0,1,12,1,0,0,1,0,5,9.129,3,4,51.0,3,308,14098,56.013698630136986,63.47945205479452,73.63013698630137,193,6,3,5,0,High Value,2,10
2760-QYCCNH-1QP,1,1,0,75,16,1,39,0,133000,10.6,7.908978,6.1890220000000005,1,0,1,1,0,2,2,-1000,18,1,0,39,19,9336,0,73,106,2780,0,57,4147,0,0,96,6984,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,5,14.098,4,4,106.0,6,259,13911,38.082191780821915,56.80821917808219,95.67123287671232,190,6,3,5,0,High Value,3,11
6907-UNTAVY-RH8,5,2,0,52,20,1,7,1,261000,6.6,7.889508,9.336492,0,0,1,1,1,0,1,98500,17,1,1,35,13,10846,1,68,58,1418,0,79,5217,0,0,96,6264,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,4,17.226,4,5,66.0,4,233,12899,20.852941176470587,76.72058823529412,92.11764705882354,189,5,3,5,0,High Value,2,11
6725-PUIEGJ-LR7,1,3,0,78,21,1,28,0,25000,8.3,0.944125,1.130875,1,0,1,0,1,0,0,13800,22,1,1,40,9,1662,0,73,80,2052,0,71,5245,0,0,90,6535,0,0,0,0,0,0,0,0,0,21,0,0,1,0,0,5,2.075,1,1,83.0,5,241,13832,28.10958904109589,71.84931506849315,89.52054794520548,189,5,3,5,0,High Value,4,11
1473-YDZVPG-DSP,4,4,0,67,16,1,14,1,131000,3.9,1.287468,3.821532,1,0,1,1,2,0,1,63000,20,1,1,39,6,4361,1,73,252,6407,0,49,3729,0,0,51,3627,0,1,1,0,0,0,0,0,1,34,0,1,0,1,0,5,5.109,3,4,39.0,2,352,13763,87.76712328767124,51.082191780821915,49.68493150684932,188,6,3,5,0,High Value,2,9
7230-DVRBWH-SZ0,1,4,1,31,21,1,1,1,156000,2.7,1.229904,2.982096,1,1,4,1,6,0,0,64000,44,1,1,13,15,3112,0,26,31,295,0,72,1782,0,0,110,2751,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,3,4.212,2,4,27.0,2,213,4828,11.346153846153847,68.53846153846153,105.8076923076923,185,5,3,2,0,High Value,2,11
4001-AOWFME-CMG,3,3,1,31,17,0,6,1,152000,21.5,10.555639999999999,22.12436,0,0,1,1,1,0,0,63200,25,0,0,13,11,9638,0,69,57,1386,0,70,4842,0,0,93,6327,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,3,32.68,5,4,215.0,8,220,12555,20.08695652173913,70.17391304347827,91.69565217391305,181,5,3,5,0,High Value,6,10
8662-KFTSLI-UZC,5,5,1,78,21,1,38,0,49000,19.4,4.458314,5.047686,1,0,1,0,1,0,1,20700,26,1,0,40,6,2350,1,73,150,3829,0,58,4302,0,0,70,5028,0,0,0,0,1,1,1,1,0,21,0,1,0,0,0,5,9.506,3,2,194.0,7,278,13159,52.45205479452055,58.93150684931507,68.87671232876713,180,6,3,5,0,High Value,4,7
2490-JDXHSX-QFT,4,4,1,24,19,1,0,1,19000,14.4,0.58824,2.14776,1,1,2,1,2,0,1,13600,35,0,0,6,11,2721,1,63,39,859,0,70,4380,0,0,100,6110,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1,2,2.7359999999999998,1,1,144.0,7,209,11349,13.634920634920634,69.52380952380952,96.98412698412699,180,5,3,5,0,High Value,1,11
4246-VOCDAN-ZIV,2,3,0,57,17,1,23,1,145000,6.9,5.152575,4.852425,1,1,4,1,2,0,0,81100,25,0,1,32,8,9462,0,69,54,1263,0,75,5194,0,0,85,5942,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,4,10.004999999999999,4,4,69.0,4,214,12399,18.304347826086957,75.27536231884058,86.1159420289855,179,5,3,5,0,High Value,3,11
8175-UIPWJF-KD4,1,1,0,41,20,1,12,1,91000,5.5,3.2982949999999995,1.706705,1,1,5,1,0,2,2,-1000,18,1,1,23,9,2210,1,73,49,1301,0,63,4519,0,0,98,7067,0,0,0,0,0,0,0,1,0,18,0,0,0,0,0,4,5.004999999999999,3,3,55.0,3,210,12887,17.82191780821918,61.9041095890411,96.8082191780822,176,5,3,5,0,High Value,4,10
2413-MRKILA-6I1,2,1,0,78,16,1,6,0,28000,5.1,0.389844,1.0381559999999999,1,1,2,0,2,0,0,15300,20,0,1,39,14,5504,1,73,243,6095,0,43,3038,0,0,51,3682,0,0,1,0,1,1,0,1,0,24,0,0,0,1,0,5,1.428,1,1,51.0,3,337,12815,83.4931506849315,41.61643835616438,50.43835616438356,175,6,3,5,0,High Value,2,7
6816-RFGSTX-G9K,1,1,0,44,16,0,2,1,37000,3.7,0.56129,0.80771,1,1,3,1,0,2,2,-1000,19,1,0,17,12,3656,0,37,28,387,0,64,2328,0,0,105,3757,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,4,1.369,1,2,37.0,2,197,6472,10.45945945945946,62.91891891891892,101.54054054054055,174,5,3,3,0,High Value,2,11
1834-TLGRSP-VFJ,2,2,1,79,21,1,12,0,26000,4.1,0.434928,0.6310720000000001,1,0,1,1,1,0,0,16400,18,1,1,27,10,2216,1,59,41,822,0,75,4470,0,0,85,4983,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,5,1.066,1,1,41.0,3,201,10275,13.932203389830509,75.76271186440678,84.45762711864407,174,5,3,4,0,High Value,4,11
6708-QEPPOG-Y7C,2,5,1,59,18,1,9,1,61000,5.4,0.7510319999999999,2.542968,1,1,3,1,3,0,1,28400,25,0,0,27,5,1087,0,60,45,922,0,69,4140,0,0,88,5334,0,0,0,0,0,0,0,0,0,33,0,0,0,0,1,4,3.294,2,3,54.0,3,202,10396,15.366666666666667,69.0,88.9,173,5,3,4,0,High Value,2,11
3757-RERTCC-6IF,3,4,0,40,18,0,3,1,101000,2.1,0.752955,1.3680450000000002,1,0,1,0,1,0,1,48700,20,1,0,21,7,3417,1,49,32,521,0,64,3070,0,0,101,4783,0,0,0,0,0,0,1,0,0,17,0,0,0,0,1,3,2.1210000000000004,1,4,21.0,2,197,8374,10.63265306122449,62.6530612244898,97.61224489795919,170,5,3,4,0,High Value,1,10
3168-XCWOBR-AAY,4,4,0,77,18,1,37,0,86000,17.4,0.808056,14.155944,1,1,2,0,1,0,0,48400,32,1,1,40,14,4137,1,73,131,3207,0,50,3738,0,0,73,5455,0,0,0,0,0,0,1,0,0,16,0,0,1,0,0,5,14.964,4,3,174.0,7,254,12400,43.93150684931507,51.205479452054796,74.72602739726027,169,6,3,5,0,High Value,3,10
2516-PWHPEI-BKY,5,3,1,53,21,1,15,1,61000,7.7,2.108953,2.588047,1,0,1,0,2,0,0,29000,26,1,0,13,12,2931,1,30,35,378,0,71,2098,0,0,88,2614,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,4,4.697,2,3,77.0,4,194,5090,12.6,69.93333333333334,87.13333333333334,169,5,3,2,0,High Value,5,11
5570-UBZQVB-V31,4,4,1,71,16,1,39,1,209000,1.1,0.9196,1.3794,1,0,1,0,1,0,1,89700,34,1,1,39,6,6925,1,73,119,2910,0,65,4778,0,0,66,4684,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,5,2.299,1,5,11.0,1,250,12372,39.863013698630134,65.45205479452055,64.16438356164383,169,6,3,5,0,High Value,6,11
0243-FFVTII-MLA,5,5,0,53,15,1,6,1,81000,27.0,7.85133,14.018670000000002,0,1,2,1,2,0,0,37200,24,1,0,35,10,2005,1,71,151,3679,0,48,3591,0,0,65,4632,0,0,0,1,0,0,0,0,1,17,1,0,0,0,0,4,21.87,5,3,270.0,8,264,11902,51.816901408450704,50.57746478873239,65.2394366197183,167,6,3,5,0,High Value,2,10
1125-WSNSLC-7RQ,3,4,0,49,22,1,12,1,314000,13.7,3.183332,39.834668,1,1,4,0,0,2,2,-1000,31,1,0,9,7,4931,1,24,36,318,0,74,1821,0,0,81,1860,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,4,43.018,5,5,137.0,7,191,3999,13.25,75.875,77.5,166,5,3,1,0,High Value,3,11
3248-BOHSKN-12L,2,1,0,53,16,1,9,1,53000,9.5,0.357485,4.6775150000000005,1,1,3,0,2,1,0,33700,26,1,1,14,6,2300,0,31,25,285,0,63,1876,0,0,100,2992,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,4,5.035,3,3,95.0,5,188,5153,9.193548387096774,60.516129032258064,96.51612903225806,166,5,3,2,0,High Value,2,11
1080-FIOSCN-MRJ,2,1,0,75,21,0,36,0,22000,16.3,0.491282,3.094718,1,1,2,0,2,0,1,11400,18,1,1,40,11,2480,0,73,155,3910,0,48,3520,0,0,66,4689,0,0,1,1,0,0,1,0,1,21,0,0,1,1,0,5,3.586,2,1,163.0,7,269,12119,53.56164383561644,48.21917808219178,64.23287671232876,166,6,3,5,0,High Value,6,8
1456-WRXMLK-KUA,5,5,0,60,21,1,17,1,106000,3.4,0.796484,2.807516,1,0,1,1,2,0,0,44000,39,1,0,30,12,5803,1,58,33,637,0,67,3746,0,0,92,5238,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,4,3.604,2,4,34.0,2,192,9621,10.982758620689655,64.58620689655173,90.3103448275862,165,5,3,4,0,High Value,3,11
5969-ELOXBK-SUZ,2,4,1,72,18,1,8,1,82000,2.2,0.42574399999999996,1.378256,1,1,2,0,5,0,1,35400,25,0,0,37,10,5670,1,71,106,2548,0,55,3927,0,0,76,5282,0,1,1,0,1,0,0,0,0,17,0,0,1,0,1,5,1.8039999999999998,1,3,22.0,2,237,11757,35.88732394366197,55.309859154929576,74.3943661971831,165,5,3,5,0,High Value,2,8
2346-XOLOPT-KCY,2,1,1,55,15,1,32,1,95000,4.6,1.50765,2.86235,1,0,1,0,3,0,0,40100,27,0,0,32,15,4665,0,66,100,2200,0,55,3714,0,0,77,5011,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,4,4.37,2,3,46.0,3,232,10925,33.333333333333336,56.27272727272727,75.92424242424242,165,5,3,5,0,High Value,6,11
5901-KJGWAL-MWZ,1,5,0,50,17,1,17,1,97000,17.8,5.78411,11.48189,1,1,3,1,2,0,0,54400,28,1,0,25,7,9666,1,64,81,1813,0,67,4192,0,0,76,4570,0,0,0,0,0,0,0,0,1,19,0,0,1,1,0,4,17.266,4,3,178.0,7,224,10575,28.328125,65.5,71.40625,165,5,3,5,0,High Value,4,11
6748-SBHSWH-5YE,1,1,1,45,18,1,17,1,140000,8.7,2.81358,9.36642,1,0,4,1,3,0,1,77200,24,1,0,21,13,6831,1,48,28,509,0,79,3665,0,0,79,3728,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,4,12.18,4,4,87.0,5,186,7902,10.604166666666666,76.35416666666667,77.66666666666667,164,5,3,3,0,High Value,4,11
4461-GDUAPW-T5J,3,1,1,36,19,1,1,1,142000,2.7,1.288224,2.545776,0,1,2,1,2,0,1,69400,26,1,0,18,12,4160,1,59,153,3184,0,59,3433,0,0,52,3034,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0,3,3.834,2,4,27.0,2,264,9651,53.96610169491525,58.186440677966104,51.42372881355932,163,6,3,4,0,High Value,2,11
9184-ABVZGX-Z4V,2,1,0,65,17,0,7,1,91000,0.3,0.094731,0.178269,1,0,1,1,1,1,0,53900,17,0,0,36,11,4517,0,69,66,1553,0,55,3942,0,0,84,5686,0,0,0,0,0,1,1,1,0,17,0,1,0,0,0,5,0.273,0,3,3.0,1,205,11181,22.507246376811594,57.130434782608695,82.40579710144928,162,5,3,5,0,High Value,2,8
3518-TYPNAR-I9S,2,3,0,48,20,1,3,1,226000,12.7,6.056122,22.645878,0,1,2,1,2,0,1,76000,32,0,0,21,9,9832,0,42,32,495,0,63,2581,0,0,91,3697,0,0,0,0,0,0,0,0,0,24,0,0,0,0,1,4,28.701999999999998,5,5,127.0,6,186,6773,11.785714285714286,61.45238095238095,88.02380952380952,161,5,3,3,0,High Value,2,11
5161-SAEGFS-T7Q,3,2,0,64,21,1,14,1,66000,16.4,2.013264,8.810736,1,0,1,0,1,0,0,38700,25,1,0,24,20,16195,1,41,31,447,0,65,2582,0,0,90,3548,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,5,10.824,4,3,164.0,7,186,6577,10.902439024390244,62.97560975609756,86.53658536585365,160,5,3,3,0,High Value,1,11
7768-UEEPLX-WRF,4,5,0,23,15,1,2,1,18000,5.0,0.1953,0.7047,1,0,1,1,2,0,1,7900,23,0,0,5,8,1347,1,67,56,1298,0,66,4251,0,0,78,5195,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,0.9,0,1,50.0,3,200,10744,19.37313432835821,63.44776119402985,77.53731343283582,160,5,3,5,0,High Value,4,11
4658-VETXPI-KJJ,4,4,1,53,20,1,8,1,88000,12.9,2.5087919999999997,8.843208,1,1,2,0,0,2,2,-1000,21,0,1,35,9,1594,1,72,66,1619,0,60,4328,0,0,79,5556,0,0,0,0,0,0,0,0,1,23,0,0,0,0,0,4,11.352,4,3,129.0,6,205,11503,22.48611111111111,60.111111111111114,77.16666666666667,159,5,3,5,0,High Value,1,11
5634-ISKLHN-QQY,5,3,0,68,19,1,11,1,108000,5.6,1.227744,4.820256,1,0,1,1,2,0,0,39600,29,0,0,11,12,2952,0,33,25,298,0,68,2227,0,0,86,2733,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,5,6.048,3,4,56.0,3,179,5258,9.030303030303031,67.48484848484848,82.81818181818181,159,5,3,2,0,High Value,1,11
8318-FEMEWF-RX3,1,1,0,73,15,1,36,1,127000,2.5,0.860425,2.314575,1,1,2,1,1,0,0,65200,29,1,1,38,6,1603,1,71,112,2713,0,55,3727,0,0,69,4866,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,5,3.175,2,4,25.0,2,236,11306,38.2112676056338,52.49295774647887,68.53521126760563,159,5,3,5,0,High Value,7,11
1475-AZQBFN-ROY,1,1,0,54,19,1,21,1,126000,10.8,7.4980080000000005,6.109992,1,1,2,1,3,0,1,55800,28,1,0,36,20,10196,1,73,285,7054,0,61,4534,0,1,0,0,0,1,1,0,1,1,1,1,0,18,0,0,0,0,0,4,13.608,4,4,108.0,6,346,11588,96.63013698630137,62.10958904109589,0.0,158,6,2,5,0,High Value,4,4
5727-FTCVVH-2JK,3,2,0,78,17,1,32,1,100000,4.3,1.7286,2.5714,1,0,1,1,0,2,2,-1000,25,1,0,39,15,12510,1,73,166,4244,0,46,3274,0,0,54,4007,0,0,1,0,0,0,0,0,1,23,0,1,1,0,0,5,4.3,2,3,43.0,3,266,11525,58.136986301369866,44.84931506849315,54.89041095890411,157,6,3,5,0,High Value,4,10
1608-DQBMUD-AB8,3,2,0,55,21,1,11,1,128000,20.5,2.28288,23.95712,1,0,1,1,2,0,1,96300,19,0,0,36,8,2331,1,68,54,1353,0,71,4793,0,0,68,4574,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,4,26.24,5,4,205.0,8,193,10720,19.897058823529413,70.48529411764706,67.26470588235294,157,5,3,5,0,High Value,1,11
2566-HGSGRK-ROU,3,1,0,59,18,1,7,1,68000,6.5,2.14812,2.27188,1,0,1,0,3,0,1,34200,18,1,1,20,8,6026,1,57,59,1213,0,61,3456,0,0,74,4316,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,4,4.42,2,3,65.0,4,194,8985,21.280701754385966,60.63157894736842,75.71929824561404,157,5,3,4,0,High Value,2,11
2685-JGCTCK-CAA,3,2,0,78,12,1,25,0,20000,9.8,0.78008,1.17992,1,1,2,1,2,0,0,10200,28,1,0,40,12,2623,1,73,165,4175,1,0,0,0,0,100,7317,0,0,0,1,0,0,0,0,1,23,1,1,1,0,0,5,1.96,1,1,98.0,5,265,11492,57.19178082191781,0.0,100.23287671232876,157,6,2,5,0,High Value,1,9
4781-EJROCZ-AWL,3,4,1,61,20,1,15,1,115000,10.6,6.85078,5.33922,1,0,1,1,2,0,0,58200,29,1,1,20,14,3455,0,46,41,611,0,58,2605,0,0,85,3902,0,0,0,0,0,0,0,0,0,24,0,1,0,0,0,5,12.190000000000001,4,4,106.0,6,184,7118,13.282608695652174,56.630434782608695,84.82608695652173,154,5,3,3,0,High Value,1,11
7038-QTIFHN-Z4B,2,1,1,62,15,1,30,1,185000,2.4,0.6260399999999999,3.81396,1,1,3,1,1,0,0,50200,18,1,0,36,8,4716,0,71,117,2911,0,55,3809,0,0,60,4262,0,1,0,0,0,0,0,0,0,18,0,0,0,1,0,5,4.4399999999999995,2,4,24.0,2,232,10982,41.0,53.647887323943664,60.028169014084504,154,5,3,5,0,High Value,1,10
0484-IPSBBH-FGI,1,1,0,77,19,1,11,0,79000,2.9,1.0446959999999998,1.246304,1,1,2,1,1,0,0,34900,16,0,1,40,12,7502,0,73,343,8636,0,37,2616,0,1,0,0,0,1,1,0,1,1,1,1,0,23,0,1,0,1,0,5,2.291,1,3,29.0,2,380,11252,118.3013698630137,35.83561643835616,0.0,154,6,2,5,0,High Value,2,4
4574-CFECWQ-FGC,1,2,1,43,13,1,6,1,88000,10.4,0.402688,8.749312,1,0,1,1,2,0,1,35300,31,1,0,25,5,900,0,57,55,1087,0,59,3327,0,0,78,4359,0,0,0,0,0,0,0,0,0,22,0,0,0,1,1,4,9.152,3,3,104.0,6,192,8773,19.07017543859649,58.36842105263158,76.47368421052632,153,5,3,4,0,High Value,1,11
8424-YHPPTH-JYP,2,3,1,31,20,1,0,1,59000,13.8,0.12212999999999999,8.01987,1,1,4,0,2,0,1,34200,22,1,0,13,9,3989,0,29,32,356,0,66,1909,0,0,75,2163,0,0,0,0,0,0,0,0,0,28,0,0,0,0,1,3,8.142,3,3,138.0,7,173,4428,12.275862068965518,65.82758620689656,74.58620689655173,152,5,3,2,0,High Value,2,11
4412-YGSBMZ-E8P,1,4,0,42,19,1,1,1,52000,11.5,2.17672,3.8032800000000004,0,1,2,0,2,0,0,33200,32,0,1,9,7,2303,0,21,15,111,0,59,1240,0,0,86,1843,1,0,0,0,0,0,0,0,0,15,0,0,0,0,1,4,5.98,3,3,115.0,6,160,3194,5.285714285714286,59.04761904761905,87.76190476190476,152,5,3,1,0,High Value,2,10
1422-SOIMEM-EIK,3,3,0,34,20,1,3,1,125000,14.0,5.3025,12.1975,0,0,2,1,0,2,2,-1000,28,0,1,16,13,8769,0,39,36,479,0,69,2668,0,0,71,2756,0,0,0,0,0,0,0,0,0,26,0,0,0,0,1,3,17.5,4,4,140.0,7,176,5903,12.282051282051283,68.41025641025641,70.66666666666667,151,5,3,3,0,High Value,1,11
2423-SKBFWB-PDO,4,1,1,44,19,1,6,1,50000,9.2,0.368,4.232,1,0,2,1,1,0,0,20200,21,1,0,26,11,3007,0,69,82,1895,0,53,3680,0,0,71,4851,0,0,0,0,0,0,0,1,0,16,0,0,0,0,0,4,4.6000000000000005,2,2,92.0,5,206,10426,27.463768115942027,53.333333333333336,70.30434782608695,151,5,3,5,0,High Value,1,10
8671-AKJOZO-KLR,4,1,0,21,16,1,0,1,17000,5.4,0.742662,0.17533800000000002,1,1,6,1,1,1,1,10100,21,1,1,3,12,2154,0,40,51,685,0,54,2118,0,0,82,3222,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,1,0.918,0,1,54.0,3,187,6025,17.125,52.95,80.55,150,5,3,3,0,High Value,6,11
7535-SELYBB-VVX,2,1,0,67,19,1,23,1,169000,20.6,14.517438,20.296561999999998,1,0,1,1,3,0,0,94400,21,1,0,35,13,4554,0,65,56,1228,0,55,3541,0,0,78,4998,0,0,0,0,0,0,0,0,1,19,0,0,1,0,1,5,34.814,5,4,206.0,8,189,9767,18.892307692307693,54.47692307692308,76.8923076923077,150,5,3,5,0,High Value,5,11
6553-IAQEZM-EDF,1,1,1,33,14,1,4,1,35000,18.4,2.78852,3.6514800000000003,1,1,2,1,1,0,0,18800,16,1,0,15,11,2364,1,68,86,2059,0,56,3825,0,0,65,4310,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,3,6.44,3,2,184.0,7,207,10194,30.279411764705884,56.25,63.38235294117647,149,5,3,5,0,High Value,7,11
