,annual_revenue,Month_on_Book,Checking_avg_Bal,Savings_avg_Bal,Loans_LOC_avg_Bal,CreditCard_avg_Bal,CDs_avg_Bal,HELoans_HELOC_avg_Bal,MMDA_avg_Bal,Branch_Visits_3_Mos,Branch_Trans_3_Mos,ATMVisits_3_Mos,ATM_Trans_3_Mos,signon_visit_3_Mos,signon_trans_3_Mos,CC_Visits_3_Mos,VRU_visits_3_Mos,BP_trans_3_Mos,RDC_trans_3_Mos,OLB_ENROLLED,OLB_ACTIVE,MOBILE_ACTIVE,Active user,Checking_flag,Savings_flag,Loans_LOC_flag,CreditCard_flag,CDs_flag,HELoans_HELOC_flag,MMDA_flag,Customer Value,Number_of_Children,Family_composition,Gender_P1,marital_status_P1,Dwelling_Type,Number_of_Adults,Length_of_Residence,Household_Age,Household_Size,HH_EDUCATION_VALUE,HH_INCOME2,Occupation,Liquid_Resources,Investment_Resources,Auto-Refinance,Credit Card,Home Equity (ITA),DirectMail_SENT,Click,Open,Send,Email_SENT
18,439.91,270,29056.5033333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,18.0,24.0,0.0,0.0,12.0,0.0,1.0,1.0,0.0,1,1,0,1,0,0,0,0,29056.5033333333,0.0,14.0,2,2,1.0,2.0,6.0,4.0,2.0,3.0,5,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0,0,1,1
19,386.2,437,9250.57333333334,2303.00666666667,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,6.0,18.0,20.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1,1,0,0,0,0,0,11553.580000000009,4.0,1.0,1,1,1.0,2.0,6.0,5.0,6.0,4.0,3,0.0,14.0,12.0,0.0,1.0,0.0,1.0,0,0,1,1
20,9.76,280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,2.0,1,1,1.0,2.0,4.0,5.0,2.0,3.0,8,10.0,12.0,11.0,0.0,1.0,0.0,1.0,0,0,1,1
21,47.33,330,980.806666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,26.0,30.0,43.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,2,1,0,1,0,0,0,0,980.806666666667,3.0,1.0,1,1,1.0,5.0,6.0,5.0,8.0,4.0,5,9.0,10.0,11.0,0.0,0.0,0.0,0.0,0,0,1,1
22,1150.23,320,8003.00333333334,3901.82666666667,0.0,0.0,0.0,0.0,63097.0966666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1,0,1,0,0,1,75001.92666666671,0.0,2.0,2,1,1.0,3.0,6.0,6.0,3.0,3.0,2,6.0,14.0,12.0,0.0,0.0,0.0,0.0,0,1,1,1
23,684.46,412,8606.09666666667,0.0,0.0,0.0,0.0,14200.0666666667,0.0,1.0,1.0,0.0,0.0,25.0,33.0,0.0,0.0,31.0,0.0,1.0,1.0,0.0,1,1,0,0,0,0,1,0,22806.16333333337,0.0,14.0,2,1,1.0,2.0,8.0,7.0,1.0,3.0,3,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0,1,1,1
24,277.22,430,0.0,10279.6533333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,1,0,0,0,0,0,10279.6533333333,0.0,2.0,2,1,1.0,4.0,6.0,6.0,4.0,2.0,4,14.0,1.0,4.0,0.0,1.0,0.0,1.0,0,0,1,1
25,532.88,494,3067.71333333333,0.0,0.0,507.686666666667,0.0,0.0,43.0533333333333,0.0,0.0,17.0,33.0,44.0,85.0,1.0,1.0,29.0,6.0,1.0,1.0,1.0,2,1,0,0,1,0,0,1,3618.45333333333,0.0,2.0,1,1,1.0,2.0,5.0,3.0,3.0,4.0,2,12.0,14.0,12.0,0.0,0.0,0.0,0.0,0,0,1,1
26,2684.08,271,61712.7033333333,0.0,1335.75666666667,3432.87666666667,0.0,0.0,17682.28,5.0,15.0,0.0,0.0,47.0,108.0,6.0,7.0,43.0,0.0,1.0,1.0,0.0,1,1,0,1,1,0,1,1,84163.61666666664,0.0,2.0,2,1,1.0,2.0,4.0,4.0,3.0,3.0,7,0.0,4.0,8.0,0.0,0.0,0.0,0.0,1,1,1,1
27,2545.2,282,3324.16666666667,0.0,17960.7066666667,9725.37666666667,0.0,0.0,11044.2433333333,0.0,0.0,13.0,21.0,58.0,91.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,2,1,0,1,1,0,0,1,42054.49333333335,6.0,1.0,2,1,1.0,2.0,6.0,4.0,8.0,5.0,9,5.0,6.0,10.0,0.0,1.0,0.0,1.0,0,1,1,1
28,774.96,334,25857.9833333333,1692.33666666667,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,1,0,0,0,0,0,27550.31999999997,0.0,2.0,1,1,1.0,2.0,7.0,5.0,2.0,3.0,7,5.0,10.0,9.0,0.0,1.0,0.0,1.0,0,0,1,1
29,439.93,344,1682.03666666667,0.0,0.0,0.0,0.0,0.0,12271.6466666667,0.0,0.0,45.0,74.0,53.0,69.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,0,0,0,0,0,1,13953.68333333337,6.0,1.0,1,1,1.0,3.0,8.0,4.0,9.0,4.0,7,14.0,13.0,11.0,0.0,0.0,0.0,0.0,0,0,1,1
30,417.3,387,523.283333333333,0.0,0.0,0.0,0.0,0.0,7880.06333333334,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,1,0,0,1,8403.346666666674,0.0,6.0,2,2,1.0,5.0,8.0,7.0,5.0,2.0,4,14.0,7.0,7.0,0.0,0.0,0.0,0.0,0,0,1,1
31,57.58,494,247.98,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,27.0,56.0,118.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,1,0,0,0,0,0,0,247.98,0.0,6.0,1,1,1.0,2.0,3.0,3.0,3.0,3.0,8,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0,1,1,1
32,369.38,339,16064.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,47.0,49.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2,1,0,0,0,0,0,0,16064.02,0.0,12.0,2,2,1.0,2.0,5.0,6.0,1.0,4.0,9,0.0,14.0,12.0,0.0,0.0,0.0,0.0,0,1,1,1
33,116.14,280,3665.61666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,17.0,49.0,54.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2,1,0,0,0,0,0,0,3665.61666666667,0.0,2.0,1,1,1.0,4.0,3.0,4.0,5.0,2.0,3,5.0,14.0,12.0,0.0,0.0,0.0,0.0,0,1,1,1
34,400.4,356,2661.16,562.643333333333,2295.50333333333,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2,1,1,1,0,0,0,0,5519.306666666663,0.0,14.0,2,2,1.0,1.0,5.0,7.0,1.0,3.0,1,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0,0,1,1
35,31.81,424,1271.24333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,19.0,38.0,52.0,0.0,0.0,21.0,0.0,1.0,1.0,0.0,1,1,0,0,0,0,0,0,1271.24333333333,0.0,12.0,1,2,5.0,1.0,7.0,5.0,1.0,2.0,4,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0,0,1,1
36,1195.25,285,13019.1666666667,14304.18,0.0,0.0,0.0,0.0,0.0,8.0,8.0,12.0,18.0,11.0,22.0,3.0,2.0,19.0,0.0,1.0,1.0,0.0,1,1,1,1,1,0,0,0,27323.3466666667,0.0,14.0,2,2,1.0,1.0,5.0,5.0,1.0,4.0,6,0.0,4.0,9.0,0.0,0.0,0.0,0.0,0,0,1,1
37,843.31,494,1164.55333333333,0.0,0.0,1054.15,0.0,27305.38,0.0,14.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,1,0,1,0,29524.083333333332,0.0,14.0,2,1,5.0,2.0,8.0,7.0,1.0,2.0,4,5.0,7.0,10.0,0.0,0.0,0.0,0.0,0,0,1,1
38,1544.32,320,33344.2933333333,0.0,0.0,0.0,0.0,0.0,29513.2266666667,3.0,4.0,0.0,0.0,145.0,204.0,2.0,1.0,24.0,0.0,1.0,1.0,1.0,2,1,0,0,0,0,0,1,62857.52,0.0,2.0,2,1,1.0,2.0,4.0,7.0,2.0,4.0,1,0.0,14.0,12.0,0.0,0.0,0.0,0.0,0,1,1,1
39,1641.51,332,14574.1633333333,0.0,0.0,12106.6666666667,0.0,0.0,44262.3433333333,1.0,1.0,18.0,23.0,19.0,26.0,0.0,1.0,50.0,2.0,1.0,1.0,1.0,2,1,0,1,1,0,0,1,70943.17333333331,1.0,1.0,2,1,1.0,4.0,8.0,5.0,5.0,3.0,9,5.0,6.0,9.0,0.0,1.0,0.0,1.0,0,0,1,1
40,1043.21,320,6007.75666666667,36057.5833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1,1,0,0,0,0,0,42065.33999999997,0.0,2.0,2,1,1.0,2.0,6.0,6.0,2.0,3.0,8,5.0,14.0,11.0,0.0,1.0,0.0,1.0,0,1,1,1
41,649.96,321,333.103333333333,273.08,3693.81,1044.60666666667,0.0,0.0,0.0,0.0,0.0,11.0,17.0,63.0,89.0,0.0,0.0,8.0,0.0,1.0,1.0,1.0,2,1,1,1,1,0,0,0,5344.600000000003,0.0,14.0,2,2,1.0,1.0,5.0,4.0,1.0,1.0,3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,1,1
42,858.59,342,7921.33,0.0,0.0,692.78,0.0,15651.3233333333,2156.53666666667,2.0,2.0,0.0,0.0,25.0,52.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2,1,0,0,1,0,1,1,26421.96999999997,0.0,2.0,1,1,1.0,3.0,8.0,6.0,3.0,2.0,4,18.0,5.0,8.0,0.0,1.0,0.0,1.0,0,0,1,1
43,2338.62,408,8303.23666666667,0.0,0.0,0.0,0.0,65646.14,0.0,4.0,6.0,0.0,0.0,18.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1,0,0,0,0,1,0,73949.37666666666,0.0,14.0,2,1,1.0,2.0,8.0,6.0,2.0,3.0,9,20.0,14.0,12.0,0.0,0.0,1.0,1.0,0,1,1,1
44,64.52,317,0.0,0.0,0.0,0.0,2764.52333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,2764.52333333333,0.0,14.0,2,2,2.0,2.0,4.0,2.0,3.0,4.0,9,0.0,10.0,8.0,0.0,1.0,0.0,1.0,0,0,1,1
45,2813.7,494,80124.4366666667,0.0,0.0,0.0,25095.2133333333,0.0,0.0,0.0,0.0,0.0,0.0,25.0,27.0,0.0,1.0,25.0,0.0,1.0,1.0,0.0,1,1,0,0,0,1,0,0,105219.65000000001,2.0,1.0,1,1,1.0,5.0,8.0,5.0,7.0,2.0,7,6.0,4.0,7.0,0.0,0.0,0.0,0.0,0,0,1,1
46,330.24,538,0.0,10986.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,10986.27,0.0,2.0,1,1,1.0,3.0,8.0,7.0,3.0,2.0,3,14.0,4.0,5.0,0.0,1.0,0.0,1.0,0,0,1,1
47,277.97,391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,22.0,0.0,0.0,13.0,0.0,1.0,1.0,0.0,1,0,0,0,0,0,1,0,0.0,0.0,6.0,1,2,1.0,3.0,8.0,6.0,3.0,2.0,5,14.0,7.0,11.0,0.0,0.0,0.0,0.0,0,0,1,1
48,92.35,412,0.0,0.0,0.0,638.616666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,638.616666666667,1.0,3.0,1,2,1.0,2.0,6.0,6.0,3.0,2.0,3,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0,0,1,1
49,908.33,310,1106.24333333333,0.0,0.0,0.0,0.0,24877.2866666667,0.0,18.0,21.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,25983.530000000028,5.0,1.0,1,1,1.0,2.0,8.0,3.0,7.0,4.0,6,10.0,1.0,3.0,0.0,0.0,0.0,0.0,0,1,1,1
50,1123.62,494,4933.6,0.0,0.0,426.476666666667,0.0,0.0,34735.0033333333,2.0,2.0,16.0,28.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1,0,0,1,0,0,1,40095.079999999965,1.0,11.0,1,2,5.0,1.0,5.0,3.0,2.0,4.0,6,20.0,4.0,9.0,0.0,0.0,0.0,0.0,0,0,1,1
51,222.82,593,1167.8,0.0,0.0,311.083333333333,0.0,20122.1,910.226666666667,3.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,1,1,22511.209999999995,0.0,14.0,2,2,1.0,1.0,8.0,7.0,1.0,3.0,2,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0,0,1,1
52,383.13,268,1755.49333333333,14202.4933333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,11.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1,1,0,0,0,0,0,15957.98666666663,0.0,12.0,1,2,1.0,1.0,7.0,3.0,1.0,2.0,6,0.0,3.0,6.0,0.0,1.0,0.0,1.0,0,0,1,1
53,537.57,319,10550.0333333333,0.0,8680.90333333334,505.786666666667,0.0,0.0,4507.27333333333,3.0,6.0,8.0,8.0,140.0,478.0,1.0,0.0,27.0,0.0,1.0,1.0,1.0,2,1,0,1,1,0,0,1,24243.996666666637,2.0,1.0,2,1,1.0,2.0,4.0,3.0,4.0,4.0,1,6.0,14.0,12.0,0.0,0.0,0.0,0.0,0,1,1,1
54,345.89,360,1675.60333333333,0.0,4205.67333333333,0.0,0.0,0.0,0.0,0.0,0.0,18.0,24.0,71.0,79.0,1.0,0.0,23.0,0.0,1.0,1.0,0.0,1,1,0,1,0,0,0,0,5881.27666666666,1.0,7.0,2,1,1.0,2.0,8.0,6.0,3.0,2.0,4,6.0,1.0,2.0,0.0,1.0,0.0,1.0,1,1,1,1
55,274.25,283,44.8533333333333,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,83.0,174.0,120.0,506.0,4.0,35.0,0.0,0.0,1.0,1.0,1.0,2,1,0,0,0,0,0,0,44.8533333333333,0.0,14.0,2,2,2.0,1.0,5.0,6.0,1.0,2.0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,1,1
56,91.55,586,2911.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,164.0,284.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2,1,0,0,0,0,1,0,2911.37,0.0,2.0,1,1,1.0,2.0,6.0,6.0,2.0,4.0,6,0.0,11.0,10.0,0.0,0.0,0.0,0.0,0,0,1,1
57,505.38,570,15169.0666666667,0.0,0.0,125.436666666667,0.0,0.0,0.0,0.0,0.0,1.0,1.0,24.0,29.0,0.0,0.0,8.0,0.0,1.0,1.0,0.0,1,1,0,0,1,0,0,0,15294.503333333367,0.0,14.0,2,2,1.0,1.0,6.0,6.0,1.0,2.0,4,14.0,4.0,6.0,0.0,0.0,0.0,0.0,0,0,1,1
58,536.56,391,0.0,0.0,0.0,0.0,0.0,0.0,176.523333333333,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,0,0,0,0,0,1,176.523333333333,1.0,1.0,2,1,1.0,3.0,8.0,5.0,4.0,4.0,6,5.0,1.0,8.0,0.0,1.0,0.0,1.0,0,1,1,1
59,461.32,321,15850.85,0.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1,0,0,0,0,0,0,15850.85,0.0,6.0,1,1,1.0,2.0,8.0,5.0,2.0,3.0,9,20.0,13.0,12.0,0.0,1.0,0.0,1.0,0,0,1,1
60,381.6,272,593.95,1071.41333333333,9965.75666666667,0.0,0.0,0.0,0.0,1.0,2.0,16.0,18.0,36.0,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1,1,1,0,0,0,0,11631.119999999999,0.0,14.0,2,2,2.0,1.0,1.0,3.0,1.0,2.0,3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,1,1
61,731.3,366,295.476666666667,0.0,8489.07333333334,4573.96666666667,0.0,0.0,1.09,2.0,2.0,3.0,5.0,37.0,76.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2,1,0,1,1,0,0,1,13359.606666666677,0.0,14.0,2,2,1.0,1.0,6.0,5.0,1.0,3.0,6,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0,0,1,1
62,103.15,326,0.0,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,-4.0,0.0,2.0,1,1,1.0,2.0,8.0,7.0,2.0,4.0,6,14.0,12.0,11.0,0.0,0.0,0.0,0.0,0,0,1,1
63,1005.63,342,2128.43666666667,7318.79666666667,0.0,7003.65333333333,0.0,0.0,0.0,0.0,0.0,5.0,5.0,23.0,27.0,0.0,0.0,58.0,0.0,1.0,1.0,0.0,1,1,1,0,1,0,0,0,16450.886666666673,0.0,12.0,1,2,1.0,1.0,3.0,5.0,1.0,2.0,8,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0,0,1,1
64,759.0,344,204.19,2008.22333333333,0.0,4814.25333333333,0.0,0.0,0.0,1.0,1.0,1.0,1.0,70.0,85.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1,1,0,1,0,0,0,7026.666666666661,0.0,12.0,1,2,1.0,1.0,4.0,4.0,1.0,2.0,3,0.0,2.0,4.0,0.0,1.0,0.0,1.0,0,1,1,1
65,904.35,282,293.88,0.0,1476.8,0.0,0.0,34931.0266666667,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,1.0,0.0,1,1,0,1,1,0,1,0,36701.7066666667,0.0,12.0,1,1,1.0,2.0,2.0,3.0,2.0,3.0,6,0.0,2.0,5.0,0.0,1.0,0.0,1.0,0,0,1,1
66,1985.96,358,70285.32,0.0,0.0,798.966666666667,0.0,0.0,0.0,1.0,2.0,0.0,0.0,20.0,23.0,0.0,0.0,24.0,0.0,1.0,1.0,1.0,2,1,0,0,1,0,0,0,71084.28666666667,0.0,14.0,2,2,1.0,1.0,8.0,7.0,1.0,2.0,1,14.0,1.0,1.0,0.0,1.0,0.0,1.0,0,1,1,1
