Date,Month,Sub-Category,Description,Account Name,Transaction Type,Count,Category Number,Sub-Category Number,Category,Budget,Expense Type,Expense Type Factor,Forecast Amount,Budget Amount,Amount,Cash
2017-07-17,2017-07-17,Gas & Fuel,Cumberland Farms,CHECKING,debit,1,4,3,Auto & Transport,Est,Fixed,0.5,24.72,12.36,-24.72,8778.73
2017-07-17,2017-07-17,Gas Stn Snacks/Beer,Circle K,CHECKING,debit,2,2,4,Food & Dining,Est,Reducable,0.8,3.85,3.08,-3.8499999999999996,8778.73
2017-07-17,2017-07-17,Gas Stn Snacks/Beer,Gulf,Venture,debit,1,2,4,Food & Dining,Est,Reducable,0.8,1.89,1.512,-1.89,8778.73
2017-07-17,2017-07-17,Groceries,Hannaford,CHECKING,debit,1,2,5,Food & Dining,Est,Reducable,1.2,11.05,13.26,-11.05,8778.73
2017-07-17,2017-07-17,Groceries,Hannaford,Venture,debit,1,2,5,Food & Dining,Est,Reducable,1.2,77.55,93.05999999999999,-77.55,8778.73
2017-07-17,2017-07-17,Groceries,Market Basket,CHECKING,debit,1,2,5,Food & Dining,Est,Reducable,1.2,19.97,23.964,-19.97,8778.73
2017-07-17,2017-07-17,Hair,Extreme Hair,CHECKING,debit,1,9,1,Personal Care,Input,Fixed,1.0,0.0,0.0,-60.0,8778.73
2017-07-17,2017-07-17,Home Improvement,Home Depot,CHECKING,debit,1,5,2,Home,Input,Reducable,0.8,0.0,0.0,-22.4,8778.73
2017-07-17,2017-07-17,Pharmacy,CVS,CHECKING,debit,1,6,4,Health & Fitness,Input,Reducable,0.7,0.0,0.0,-35.33,8778.73
2017-07-17,2017-07-17,Uncategorized,Sausage Express,CHECKING,debit,1,8,5,Misc Expenses,Est,Reducable,0.0,4.25,0.0,-4.25,8778.73
2017-07-18,2017-07-18,Auto Payment,Car Loan,CHECKING,debit,1,0,1,Loans,Input,Fixed,1.0,0.0,0.0,-340.0,8507.699999999999
2017-07-18,2017-07-18,Gas Stn Snacks/Beer,Gulf,CHECKING,debit,1,2,4,Food & Dining,Est,Reducable,0.8,1.08,0.8640000000000001,-1.08,8507.699999999999
2017-07-18,2017-07-18,Pet Food & Supplies,Amazon,CHECKING,debit,1,8,8,Misc Expenses,Input,Fixed,1.0,0.0,0.0,-22.86,8507.699999999999
2017-07-19,2017-07-19,Gas Stn Snacks/Beer,Circle K,CHECKING,debit,1,2,4,Food & Dining,Est,Reducable,0.8,3.18,2.5440000000000005,-3.18,8143.759999999999
2017-07-19,2017-07-19,Veterinary,Broadview Animal Hospital,Venture,debit,1,8,10,Misc Expenses,Input,Fixed,1.0,0.0,0.0,-334.25,8143.759999999999
2017-07-20,2017-07-20,Fast Food,Farmington House of Pizza,CHECKING,debit,1,2,3,Food & Dining,Est,Reducable,0.5,12.76,6.38,-12.76,7806.329999999999
2017-07-20,2017-07-20,Paycheck,KLA Diabetes Care,CHECKING,credit,1,30,1,Income,Input,Fixed,1.0,0.0,0.0,379.14,7806.329999999999
2017-07-20,2017-07-20,Paycheck,Liberty Mutual,CHECKING,credit,1,30,1,Income,Input,Fixed,1.0,0.0,0.0,1309.07,7806.329999999999
2017-07-20,2017-07-20,Pet Food & Supplies,Amazon,CHECKING,debit,1,8,8,Misc Expenses,Input,Fixed,1.0,0.0,0.0,-8.69,7806.329999999999
2017-07-21,2017-07-21,Fast Food,Portsmouth Pizza Factory,CHECKING,debit,1,2,3,Food & Dining,Est,Reducable,0.5,11.43,5.715,-11.43,9473.089999999998
2017-07-21,2017-07-21,Music,iTunes,CHECKING,debit,1,11,4,Entertainment,Est,Discretionary,0.1,0.99,0.099,-0.99,9473.089999999998
2017-07-22,2017-07-22,Auto Insurance,Liberty Mutual,Venture,debit,1,1,1,Bills & Utilities,Input,Fixed,1.0,0.0,0.0,-159.58,9460.669999999998
2017-07-24,2017-07-24,Coffee Shops,Aroma Joes,CHECKING,debit,1,2,2,Food & Dining,Est,Reducable,1.1,4.75,5.2250000000000005,-4.75,9301.089999999998
2017-07-24,2017-07-24,Daycare,Stillwater Kennels,CHECKING,debit,1,8,7,Misc Expenses,Input,Fixed,1.0,0.0,0.0,-73.0,9301.089999999998
2017-07-24,2017-07-24,Fast Food,Burger King,CHECKING,debit,1,2,3,Food & Dining,Est,Reducable,0.5,1.09,0.545,-1.09,9301.089999999998
2017-07-24,2017-07-24,Fast Food,Sunoco,CHECKING,debit,1,2,3,Food & Dining,Est,Reducable,0.5,7.32,3.66,-7.32,9301.089999999998
2017-07-24,2017-07-24,Gas & Fuel,Cumberland Farms,CHECKING,debit,2,4,3,Auto & Transport,Est,Fixed,0.5,45.63,22.815,-45.63,9301.089999999998
2017-07-24,2017-07-24,Groceries,Hannaford,CHECKING,debit,1,2,5,Food & Dining,Est,Reducable,1.2,129.72,155.664,-129.72,9301.089999999998
2017-07-24,2017-07-24,Hobbies,Hobby Lobby,CHECKING,debit,1,10,5,Shopping,Input,Reducable,1.0,0.0,0.0,-6.96,9301.089999999998
2017-07-24,2017-07-24,Music,iTunes,CHECKING,debit,2,11,4,Entertainment,Est,Discretionary,0.1,10.98,1.098,-10.98,9301.089999999998
2017-07-24,2017-07-24,Pet Food & Supplies,Amazon,CHECKING,debit,1,8,8,Misc Expenses,Input,Fixed,1.0,0.0,0.0,-23.0,9301.089999999998
2017-07-24,2017-07-24,Restaurants,Farmington House of Pizza,Venture,debit,1,2,6,Food & Dining,Est,Reducable,1.5,21.0,31.5,-21.0,9301.089999999998
2017-07-24,2017-07-24,Shopping,Wal-Mart,CHECKING,debit,1,10,8,Shopping,Input,Reducable,1.0,0.0,0.0,-44.2,9301.089999999998
2017-07-24,2017-07-24,Veterinary,Broadview Animal Hospital,Venture,debit,1,8,10,Misc Expenses,Input,Fixed,1.0,0.0,0.0,-119.1,9301.089999999998
2017-07-25,2017-07-25,Fast Food,Wendy's,CHECKING,debit,1,2,3,Food & Dining,Est,Reducable,0.5,9.0,4.5,-9.0,8814.339999999998
2017-07-25,2017-07-25,Gas Stn Snacks/Beer,Cumberland Farms,Venture,debit,1,2,4,Food & Dining,Est,Reducable,0.8,9.99,7.992000000000001,-9.99,8814.339999999998
2017-07-26,2017-07-26,Fast Food,Portsmouth Pizza Factory,CHECKING,debit,1,2,3,Food & Dining,Est,Reducable,0.5,10.18,5.09,-10.18,8795.349999999999
2017-07-26,2017-07-26,Fast Food,Sunoco,CHECKING,debit,1,2,3,Food & Dining,Est,Reducable,0.5,2.71,1.355,-2.71,8795.349999999999
2017-07-26,2017-07-26,Gas & Fuel,Cumberland Farms,CHECKING,debit,1,4,3,Auto & Transport,Est,Fixed,0.5,22.82,11.41,-22.82,8795.349999999999
2017-07-26,2017-07-26,Music,iTunes,CHECKING,debit,1,11,4,Entertainment,Est,Discretionary,0.1,3.27,0.327,-3.27,8795.349999999999
2017-07-26,2017-07-26,Other Income,Direct Deposit Webdeposit,SAFETY NET,credit,1,30,5,Income,Input,Fixed,1.0,0.0,0.0,1065.79,8795.349999999999
2017-07-27,2017-07-27,Fast Food,KFC,CHECKING,debit,1,2,3,Food & Dining,Est,Reducable,0.5,15.76,7.88,-15.76,9822.159999999998
2017-07-27,2017-07-27,Pet Food & Supplies,1 800 PETMEDS,Venture,debit,1,8,8,Misc Expenses,Input,Fixed,1.0,0.0,0.0,-35.78,9822.159999999998
2017-07-27,2017-07-27,Pharmacy,CVS,CHECKING,debit,1,6,4,Health & Fitness,Input,Reducable,0.7,0.0,0.0,-3.29,9822.159999999998
2017-07-27,2017-07-27,Shopping,Target,Venture,debit,1,10,8,Shopping,Input,Reducable,1.0,0.0,0.0,-35.99,9822.159999999998
2017-07-28,2017-07-28,Baby Supplies,Amazon,Venture,debit,1,3,1,Kids,Input,Fixed,1.0,0.0,0.0,-28.94,9731.339999999998
2017-07-28,2017-07-28,Cash & ATM,Withdrawal,SAFETY NET,debit,1,8,2,Misc Expenses,Input,Reducable,1.0,0.0,0.0,-900.0,9731.339999999998
2017-07-28,2017-07-28,Groceries,Hannaford,CHECKING,debit,1,2,5,Food & Dining,Est,Reducable,1.2,14.61,17.532,-14.61,9731.339999999998
2017-07-28,2017-07-28,Misc Shopping,Amazon,Venture,debit,1,10,6,Shopping,Input,Discretionary,1.0,0.0,0.0,-21.99,9731.339999999998
2017-07-28,2017-07-28,Other Income,Deposit,CHECKING,credit,1,30,5,Income,Input,Fixed,1.0,0.0,0.0,100.0,9731.339999999998
2017-07-28,2017-07-28,Other Income,Deposit,EMERSYN,credit,1,30,5,Income,Input,Fixed,1.0,0.0,0.0,800.0,9731.339999999998
2017-07-28,2017-07-28,Restaurants,CATAQUA PUBLIC HOUSE,Venture,debit,1,2,6,Food & Dining,Est,Reducable,1.5,15.0,22.5,-15.0,9731.339999999998
2017-07-28,2017-07-28,Shopping,ORDER.WISH.COM,Venture,debit,1,10,8,Shopping,Input,Reducable,1.0,0.0,0.0,-22.95,9731.339999999998
2017-07-28,2017-07-28,Student Loan,FedLoan Servicing,CHECKING,debit,1,0,3,Loans,Input,Fixed,1.0,0.0,0.0,-136.21,9731.339999999998
2017-07-29,2017-07-29,Fast Food,Papa Gino's,Venture,debit,1,2,3,Food & Dining,Est,Reducable,0.5,20.05,10.025,-20.05,9491.639999999998
2017-07-29,2017-07-29,Home Supplies/Servic,Lowes,Venture,debit,1,5,4,Home,Est,Reducable,0.8,10.97,8.776000000000002,-10.97,9491.639999999998
2017-07-29,2017-07-29,Pet Food & Supplies,Foster Smith,Venture,debit,1,8,8,Misc Expenses,Input,Fixed,1.0,0.0,0.0,-136.2,9491.639999999998
2017-07-31,2017-07-31,Coffee Shops,Aroma Joes,Venture,debit,1,2,2,Food & Dining,Est,Reducable,1.1,4.0,4.4,-4.0,9324.419999999998
2017-07-31,2017-07-31,Electric Bill,Eversource Desc Web,CHECKING,debit,1,1,3,Bills & Utilities,Input,Reducable,0.9,0.0,0.0,-139.28,9324.419999999998
2017-07-31,2017-07-31,Fast Food,Liberty Cafe,Venture,debit,2,2,3,Food & Dining,Est,Reducable,0.5,7.95,3.975,-7.95,9324.419999999998
2017-07-31,2017-07-31,Fast Food,Sunoco,CHECKING,debit,1,2,3,Food & Dining,Est,Reducable,0.5,5.43,2.715,-5.43,9324.419999999998
2017-07-31,2017-07-31,Gas & Fuel,Cumberland Farms,CHECKING,debit,1,4,3,Auto & Transport,Est,Fixed,0.5,31.74,15.87,-31.74,9324.419999999998
2017-07-31,2017-07-31,Gas Stn Snacks/Beer,Gulf,Venture,debit,1,2,4,Food & Dining,Est,Reducable,0.8,8.68,6.944,-8.68,9324.419999999998
2017-07-31,2017-07-31,Gas Stn Snacks/Beer,SUNOCO 0598351500,Venture,debit,1,2,4,Food & Dining,Est,Reducable,0.8,2.71,2.168,-2.71,9324.419999999998
2017-07-31,2017-07-31,Groceries,Market Basket,CHECKING,debit,1,2,5,Food & Dining,Est,Reducable,1.2,97.64,117.16799999999999,-97.64,9324.419999999998
2017-07-31,2017-07-31,Investments,Dividend,CREDIT CARD,credit,1,30,9,Income,Est,Fixed,1.0,0.08,0.08,0.08,9324.419999999998
2017-07-31,2017-07-31,Investments,Dividend,EMERSYN,credit,1,30,9,Income,Est,Fixed,1.0,0.23,0.23,0.23,9324.419999999998
2017-07-31,2017-07-31,Investments,Dividend,MORTGAGE,credit,1,30,9,Income,Est,Fixed,1.0,0.01,0.01,0.01,9324.419999999998
2017-07-31,2017-07-31,Investments,Dividend,SAFETY NET,credit,1,30,9,Income,Est,Fixed,1.0,4.44,4.44,4.44,9324.419999999998
2017-07-31,2017-07-31,Pet Food & Supplies,Amazon,Venture,debit,1,8,8,Misc Expenses,Input,Fixed,1.0,0.0,0.0,-45.99,9324.419999999998
2017-07-31,2017-07-31,Pet Food & Supplies,Petco,Venture,debit,1,8,8,Misc Expenses,Input,Fixed,1.0,0.0,0.0,-14.99,9324.419999999998
2017-07-31,2017-07-31,Restaurants,POOR PEOPLES PUB INC,Venture,debit,1,2,6,Food & Dining,Est,Reducable,1.5,33.0,49.5,-33.0,9324.419999999998
2017-07-31,2017-07-31,Veterinary,Petco,Venture,debit,1,8,10,Misc Expenses,Input,Fixed,1.0,0.0,0.0,-63.0,9324.419999999998
2017-08-01,2017-08-01,Misc Expenses,Unknown - Check,CHECKING,debit,1,8,3,Misc Expenses,Est,Discretionary,0.1,38.5,3.85,-38.5,8874.769999999999
2017-08-01,2017-08-01,Mortgage & Rent,Pennymac Loan,CHECKING,debit,1,0,2,Loans,Input,Fixed,1.0,0.0,0.0,-625.6,8874.769999999999
2017-08-01,2017-08-01,Ron - Student Loans,Ron - Assist w/ Student Loan,CHECKING,credit,1,30,4,Income,Input,Fixed,1.0,0.0,0.0,250.0,8874.769999999999
2017-08-01,2017-08-01,Shopping,Wal-Mart,CHECKING,debit,1,10,8,Shopping,Input,Reducable,1.0,0.0,0.0,-44.7,8874.769999999999
2017-08-02,2017-08-02,Fast Food,Subway,CHECKING,debit,1,2,3,Food & Dining,Est,Reducable,0.5,6.39,3.195,-6.39,8415.97
2017-08-02,2017-08-02,Prof Designation,The Insitutes,Venture,debit,1,10,2,Education,Input,Reimbursed,1.0,0.0,0.0,-374.16,8415.97
2017-08-03,2017-08-03,Gas & Fuel,Circle K,Venture,debit,1,4,3,Auto & Transport,Est,Fixed,0.5,25.0,12.5,-25.0,8035.419999999999
2017-08-03,2017-08-03,Paycheck,KLA Diabetes Care,CHECKING,credit,1,30,1,Income,Input,Fixed,1.0,0.0,0.0,505.97,8035.419999999999
2017-08-03,2017-08-03,Paycheck,Liberty Mutual,CHECKING,credit,1,30,1,Income,Input,Fixed,1.0,0.0,0.0,1216.81,8035.419999999999
2017-08-03,2017-08-03,Reimbursement,Liberty Mutual Desc,CHECKING,credit,1,30,3,Income,Input,Fixed,1.0,0.0,0.0,600.56,8035.419999999999
2017-08-03,2017-08-03,Restaurants,WILD WILLYS BURGERS,Venture,debit,1,2,6,Food & Dining,Est,Reducable,1.5,32.48,48.72,-32.48,8035.419999999999
2017-08-03,2017-08-03,Student Loan,NelNet Student Loan,CHECKING,debit,1,0,3,Loans,Input,Fixed,1.0,0.0,0.0,-152.9,8035.419999999999
2017-08-04,2017-08-04,Fast Food,McDonald's,Venture,debit,1,2,3,Food & Dining,Est,Reducable,0.5,5.12,2.56,-5.12,10148.38
2017-08-04,2017-08-04,Student Loan,Navient,CHECKING,debit,1,0,3,Loans,Input,Fixed,1.0,0.0,0.0,-330.0,10148.38
2017-08-05,2017-08-05,Gas Stn Snacks/Beer,Circle K,Venture,debit,1,2,4,Food & Dining,Est,Reducable,0.8,1.99,1.592,-1.99,9813.259999999998
2017-08-05,2017-08-05,Subscriptions,Capital One,Venture,debit,1,7,1,Subscriptions,Input,Fixed,1.0,0.0,0.0,-59.0,9813.259999999998
2017-08-07,2017-08-07,Alcohol & Bars,NH Liquor Store,Venture,debit,1,2,1,Food & Dining,Est,Discretionary,1.0,24.99,24.99,-24.99,9752.269999999999
2017-08-07,2017-08-07,Cash & ATM,Share Withdrawal,CHECKING,debit,1,8,2,Misc Expenses,Input,Reducable,1.0,0.0,0.0,-40.0,9752.269999999999
2017-08-07,2017-08-07,Fast Food,McDonald's,CHECKING,debit,1,2,3,Food & Dining,Est,Reducable,0.5,4.68,2.34,-4.68,9752.269999999999
2017-08-07,2017-08-07,Fast Food,Sunoco,CHECKING,debit,1,2,3,Food & Dining,Est,Reducable,0.5,7.32,3.66,-7.32,9752.269999999999
2017-08-07,2017-08-07,Gas & Fuel,Cumberland Farms,CHECKING,debit,1,4,3,Auto & Transport,Est,Fixed,0.5,26.12,13.06,-26.12,9752.269999999999
2017-08-07,2017-08-07,Gas & Fuel,Exxon,CHECKING,debit,1,4,3,Auto & Transport,Est,Fixed,0.5,29.49,14.745,-29.49,9752.269999999999
2017-08-07,2017-08-07,Gas Stn Snacks/Beer,Circle K,CHECKING,debit,1,2,4,Food & Dining,Est,Reducable,0.8,10.0,8.0,-10.0,9752.269999999999
2017-08-07,2017-08-07,Groceries,BJ's Wholesale Club,Venture,debit,1,2,5,Food & Dining,Est,Reducable,1.2,113.92,136.704,-113.92,9752.269999999999
2017-08-07,2017-08-07,Groceries,Mackensies Farm,CHECKING,debit,1,2,5,Food & Dining,Est,Reducable,1.2,12.09,14.508,-12.09,9752.269999999999
2017-08-07,2017-08-07,Groceries,Market Basket,CHECKING,debit,1,2,5,Food & Dining,Est,Reducable,1.2,99.29,119.148,-99.29,9752.269999999999
2017-08-07,2017-08-07,Restaurants,FEZZIWIG FOOD & FOUNTAIN,Venture,debit,1,2,6,Food & Dining,Est,Reducable,1.5,6.5,9.75,-6.5,9752.269999999999
2017-08-07,2017-08-07,Shopping,Target,CHECKING,debit,1,10,8,Shopping,Input,Reducable,1.0,0.0,0.0,-8.54,9752.269999999999
2017-08-09,2017-08-09,Groceries,Hannaford,CHECKING,debit,1,2,5,Food & Dining,Est,Reducable,1.2,15.82,18.983999999999998,-15.82,9369.329999999998
2017-08-09,2017-08-09,Subscriptions,Netflix,CHECKING,debit,1,7,1,Subscriptions,Input,Fixed,1.0,0.0,0.0,-9.99,9369.329999999998
2017-08-10,2017-08-10,Pharmacy,CVS,CHECKING,debit,1,6,4,Health & Fitness,Input,Reducable,0.7,0.0,0.0,-17.97,9343.519999999999
2017-08-11,2017-08-11,Coffee Shops,Aroma Joes,CHECKING,debit,1,2,2,Food & Dining,Est,Reducable,1.1,4.0,4.4,-4.0,9325.55
2017-08-11,2017-08-11,Fast Food,McDonald's,CHECKING,debit,1,2,3,Food & Dining,Est,Reducable,0.5,4.24,2.12,-4.24,9325.55
2017-08-11,2017-08-11,Gas & Fuel,Cumberland Farms,CHECKING,debit,1,4,3,Auto & Transport,Est,Fixed,0.5,16.03,8.015,-16.03,9325.55
2017-08-11,2017-08-11,Mobile Phone,Verizon Wireless,Venture,debit,1,1,4,Bills & Utilities,Input,Fixed,1.0,0.0,0.0,-179.24,9325.55
2017-08-14,2017-08-14,Cable/ Internet,Time Warner,CHECKING,debit,1,1,2,Bills & Utilities,Input,Fixed,1.0,0.0,0.0,-152.18,9122.039999999999
2017-08-14,2017-08-14,Fast Food,McDonald's,CHECKING,debit,1,2,3,Food & Dining,Est,Reducable,0.5,5.77,2.885,-5.77,9122.039999999999
2017-08-14,2017-08-14,Fast Food,Sunoco,CHECKING,debit,1,2,3,Food & Dining,Est,Reducable,0.5,2.71,1.355,-2.71,9122.039999999999
2017-08-14,2017-08-14,Groceries,Hannaford,Venture,debit,1,2,5,Food & Dining,Est,Reducable,1.2,113.51,136.212,-113.51,9122.039999999999
2017-08-14,2017-08-14,Pet Food & Supplies,Amazon,Venture,debit,1,8,8,Misc Expenses,Input,Fixed,1.0,0.0,0.0,-45.99,9122.039999999999
2017-08-14,2017-08-14,Pharmacy,CVS,CHECKING,debit,1,6,4,Health & Fitness,Input,Reducable,0.7,0.0,0.0,-10.43,9122.039999999999
2017-08-14,2017-08-14,Restaurants,Margaritas,Venture,debit,1,2,6,Food & Dining,Est,Reducable,1.5,56.0,84.0,-56.0,9122.039999999999
